"Age","Relative Income"
"20","100.0"
"21","107.5"
"22","122.2"
"23","138.0"
"24","155.7"
"25","166.6"
"26","173.4"
"27","176.9"
"28","180.4"
"29","180.4"
"30","185.5"
"31","188.5"
"32","190.6"
"33","191.2"
"34","191.0"
"35","188.8"
"36","187.8"
"37","188.2"
"38","187.8"
"39","187.9"
"40","189.0"
"41","189.9"
"42","188.8"
"43","189.8"
"44","190.5"
"45","192.6"
"46","194.2"
"47","196.0"
"48","197.8"
"49","201.8"
"50","204.1"
"51","209.8"
"52","213.8"
"53","215.0"
"54","214.8"
"55","212.7"
"56","210.2"
"57","207.6"
"58","206.1"
"59","205.1"
"60","203.9"
"61","198.9"
"62","193.8"
"63","190.6"
"64","188.4"
"65","185.0"
"66","182.7"
"67","180.5"
"68","176.7"
"69","171.4"
"70","169.0"
"71","164.7"
"72","161.8"
"73","160.5"
"74","159.1"
"75","156.7"
"76","155.7"
"77","155.4"
"78","152.1"
"79","151.1"
"80","150.1"
